Sample;Time;Power;Voltage;Current
0;1402070373,50563;13,31333828;4,969790145;2,678853209
1;1402070373,68042;13,28792918;4,973642468;2,671669559
2;1402070373,79369;13,33928909;4,953939899;2,692662681
3;1402070373,90502;13,28043045;4,964674264;2,674985255
4;1402070374,01731;13,36483799;4,972047242;2,687994972
5;1402070374,12863;13,25604011;4,965322338;2,66972398
6;1402070374,25167;13,19756924;4,959442277;2,661099475
7;1402070374,36495;13,37650304;4,973553378;2,689526386
8;1402070374,47725;13,38284947;4,98424747;2,685029094
9;1402070374,59052;13,39093804;4,976873117;2,690632798
10;1402070374,70282;13,21650651;4,952370289;2,668723408
11;1402070374,84832;13,27880373;4,967171;2,673313185
12;1402070375,00065;13,25654803;4,954038899;2,675907133
13;1402070375,11295;13,26425785;4,968651192;2,669589258
14;1402070375,22524;13,27762251;4,97058454;2,671239652
15;1402070375,33657;13,25044562;4,965702797;2,668392806
16;1402070375,44984;13,35628144;4,977024415;2,683587688
17;1402070375,56311;13,335242;4,974038178;2,680968968
18;1402070375,67541;13,27644845;4,962821646;2,675181458
19;1402070375,78771;13,22250539;4,967361342;2,661877098
20;1402070375,90001;13,26976548;4,964670092;2,672839329
21;1402070376,01328;13,30013167;4,961044388;2,680913662
22;1402070376,12558;13,305699;4,974870401;2,674582034
23;1402070376,23592;13,34021166;4,985357086;2,675878865
24;1402070376,34822;13,37094492;4,963190884;2,694021896
25;1402070376,45954;13,32557006;4,961829759;2,685616135
26;1402070376,57086;13,26941716;4,963276104;2,673519846
27;1402070376,68218;13,25568363;4,964761145;2,669953951
28;1402070376,79253;13,22644795;4,968877509;2,661858323
29;1402070376,90482;13,21491876;4,956276924;2,666299514
30;1402070377,01615;13,33512571;4,979464279;2,678024174
31;1402070377,12747;13,26093139;4,975496005;2,665248123
32;1402070377,23879;13,31786142;4,974590718;2,677177315
33;1402070377,35011;13,31661498;4,985486125;2,67107653
34;1402070377,46338;13,24108776;4,957255677;2,671052014
35;1402070377,57470;13,29230362;4,971714529;2,673585448
36;1402070377,68602;13,32047023;4,961863538;2,684570047
37;1402070377,79930;13,34143745;4,982424229;2,677700018
38;1402070377,91257;13,40100547;4,974983092;2,693678597
39;1402070378,02389;13,23418445;4,973841906;2,660756957
40;1402070378,13521;13,21205091;4,965652542;2,660687754
41;1402070378,24654;13,2579605;4,979338481;2,662594751
42;1402070378,35786;13,28154481;4,96466819;2,675212985
43;1402070378,46918;13,22432953;4,968072059;2,661863471
44;1402070378,58050;13,29779963;4,963138813;2,679312453
45;1402070378,69182;13,30290846;4,956184909;2,684102531
