Sample;Time;Power;Voltage;Current
0;1402327238,90895;1,449938914;5,051178792;0,287049612
1;1402327239,35257;1,262635281;5,051391923;0,249957893
2;1402327239,46470;1,321470097;5,052103022;0,261568319
3;1402327239,57682;1,312609618;5,051507473;0,25984513
4;1402327239,68895;1,393052542;5,05101386;0,275796618
5;1402327239,80205;1,404982363;5,051373021;0,278138708
6;1402327239,91320;1,321009526;5,051770816;0,26149435
7;1402327240,02532;1,402206749;5,050892236;0,277615653
8;1402327240,13745;1,33687595;5,051270845;0,264661308
9;1402327240,24860;1,416278493;5,052079581;0,280335745
10;1402327240,40460;1,49316002;5,051138918;0,295608583
11;1402327240,52940;1,398905785;5,051082891;0,276951659
12;1402327240,69417;1,286784302;5,051102463;0,254753158
13;1402327240,80727;1,366283646;5,051322894;0,270480362
14;1402327240,91940;1,45053652;5,050850197;0,287186605
15;1402327241,03250;1,357469277;5,051697671;0,268715463
16;1402327241,14560;1,352617985;5,050708325;0,267807582
17;1402327241,25772;1,956620673;5,049209339;0,387510309
18;1402327241,37082;2,02298717;5,049409686;0,400638351
19;1402327241,48197;2,126731934;5,048400928;0,42126843
20;1402327241,59312;2,10496124;5,048120953;0,416979161
21;1402327241,70427;2,188087475;5,048144378;0,433443917
22;1402327241,81542;2,249746288;5,048338865;0,445640903
23;1402327241,92852;2,201156399;5,048242723;0,43602428
24;1402327242,04357;2,094524282;5,048831253;0,414853295
25;1402327242,15570;2,181146097;5,048932954;0,432001398
26;1402327242,26880;2,264751578;5,048380369;0,448609537
27;1402327242,38190;2,142115126;5,048144187;0,424337152
28;1402327242,49305;2,154192749;5,048440188;0,42670462
29;1402327242,60420;2,03643078;5,048554961;0,403369042
30;1402327242,71827;2,229317546;5,048429871;0,441586315
31;1402327242,83137;2,089583747;5,047989296;0,413943775
32;1402327242,94447;2,206278118;5,048196451;0,437042841
33;1402327243,05660;2,216393508;5,048203117;0,439046024
34;1402327243,16872;2,187349362;5,048519083;0,433265543
35;1402327243,27987;2,108512753;5,048745248;0,417631045
36;1402327243,39297;2,143563275;5,047996081;0,424636478
37;1402327243,50607;2,187760759;5,048742446;0,43332786
38;1402327243,61917;2,151081025;5,04809138;0,426117688
39;1402327243,73130;2,209103656;5,048341223;0,437590004
40;1402327243,84342;2,127499103;5,048610471;0,421402902
41;1402327243,95555;2,163856206;5,048502503;0,428613476
42;1402327244,06962;2,14619239;5,048252548;0,425135702
43;1402327244,18272;2,17272118;5,047910462;0,430419913
44;1402327244,29485;2,161073621;5,048331217;0,428076829
45;1402327244,40990;2,155602912;5,048137135;0,427009579
46;1402327244,52397;2,190057686;5,048725816;0,433784239
47;1402327244,63610;2,169949243;5,048193266;0,429846705
48;1402327244,74725;2,119369756;5,048617211;0,419792127
49;1402327244,85937;2,096524299;5,047765548;0,415337099
50;1402327244,97247;2,143403934;5,048751824;0,424541354
51;1402327245,08557;2,092097955;5,048167222;0,414427229
52;1402327245,19770;2,145450634;5,048575253;0,424961603
53;1402327245,30982;2,158953549;5,048528378;0,427640173
54;1402327245,42292;2,222427639;5,048400357;0,440224127
55;1402327245,53700;2,242527465;5,048877087;0,444163608
56;1402327245,65010;2,186846617;5,048956008;0,433128475
57;1402327245,76320;2,276918187;5,048097844;0,451044781
58;1402327245,87435;2,169148249;5,048262743;0,429682122
59;1402327245,98745;2,126929599;5,04842728;0,421305385
60;1402327246,10152;2,133697607;5,048341167;0,422653211
61;1402327246,21462;2,307551712;5,048212912;0,457102692
62;1402327246,32772;2,156316127;5,048864143;0,427089354
63;1402327246,44180;2,147185788;5,048180216;0,425338577
64;1402327246,55685;2,195446388;5,048746549;0,434849792
65;1402327246,67287;2,219347579;5,048075547;0,439642307
66;1402327246,78695;2,127398475;5,048610758;0,421382946
67;1402327246,90200;2,217634938;5,048636949;0,439254191
68;1402327247,01510;2,246150689;5,049189335;0,444853726
69;1402327247,12722;2,148941633;5,048742566;0,425638979
70;1402327247,24227;2,1175444;5,047930402;0,419487638
71;1402327247,35732;2,164560649;5,048696651;0,428736523
72;1402327247,47140;2,184533595;5,048768499;0,432686425
73;1402327247,58450;2,325760406;5,048045312;0,460724946
74;1402327247,77657;2,256019916;5,048472476;0,446871787
75;1402327247,89260;2,264333423;5,048308398;0,448533101
76;1402327248,00570;2,090443662;5,048094807;0,414105468
77;1402327248,11880;2,195085983;5,048604667;0,434790626
78;1402327248,23287;2,185962085;5,047737215;0,433057822
79;1402327248,34695;2,214864574;5,048311667;0,438733723
80;1402327248,46005;2,165387803;5,048032176;0,428956815
81;1402327248,58485;1,891496846;5,049482346;0,374592229
82;1402327248,73500;1,935482926;5,049613583;0,383293275
83;1402327248,85200;2,009959475;5,050083251;0,398005216
84;1402327248,96607;1,947466041;5,05008371;0,385630447
85;1402327249,07917;1,864487242;5,049679118;0,369228856
86;1402327249,24785;1,859498988;5,049294611;0,368269062
87;1402327249,46820;1,70410096;5,050205812;0,337431983
88;1402327249,58130;1,907558394;5,049011895;0,377808259
89;1402327249,69537;1,840738407;5,049508231;0,364538153
90;1402327249,80847;1,748602752;5,050224831;0,346242556
91;1402327249,92352;1,999281259;5,049097088;0,395968076
92;1402327250,04052;1,910992994;5,049172939;0,378476439
93;1402327250,15655;1,796952341;5,050064138;0,355827628
94;1402327250,26965;1,865189004;5,049984916;0,369345461
95;1402327250,38372;1,883908733;5,049287821;0,373103851
96;1402327250,49975;1,841005044;5,050103218;0,364548003
97;1402327250,61285;1,863024442;5,049232373;0,368971817
98;1402327250,72790;1,77378436;5,048998623;0,351314091
99;1402327250,84100;1,760607103;5,049616722;0,348661532
100;1402327250,95410;1,858488454;5,05001776;0,368016221
101;1402327251,06622;1,930601013;5,048982585;0,382374267
102;1402327251,18127;1,784932868;5,050152298;0,353441394
103;1402327251,29437;1,788509719;5,050109745;0,354152644
104;1402327251,40747;1,754447601;5,050058135;0,347411367
105;1402327251,52545;1,717166129;5,04991659;0,340038513
106;1402327251,63757;1,834824521;5,049945313;0,363335523
107;1402327251,75165;1,810891035;5,049422889;0,358633269
108;1402327251,86475;1,879353178;5,049734896;0,372168681
109;1402327251,98077;1,768708773;5,049949129;0,350242889
110;1402327252,09485;1,818519602;5,049485838;0,360139559
111;1402327252,20892;1,850092741;5,050142559;0,366344657
112;1402327252,32202;1,770015572;5,049560883;0,350528613
113;1402327252,43610;1,747473496;5,049709467;0,346054265
114;1402327252,55017;1,776199517;5,049738723;0,351740875
115;1402327252,66230;1,779616722;5,050567891;0,352359727
116;1402327252,77735;1,767356979;5,04998816;0,3499725
117;1402327252,89240;1,773147105;5,049636876;0,351143488
118;1402327253,00452;1,96522594;5,049915938;0,389160129
119;1402327253,11860;1,779313546;5,049925879;0,352344487
120;1402327253,23072;1,835733745;5,049475249;0,36354941
121;1402327253,34382;1,708090284;5,049548101;0,33826597
122;1402327253,45790;1,821038956;5,049979077;0,360603267
123;1402327253,57002;1,823477367;5,04976507;0,361101426
124;1402327253,68312;1,862378675;5,050015161;0,368786749
125;1402327253,79525;2,114409889;5,049261741;0,418756245
126;1402327253,90932;2,033866536;5,049617474;0,402776358
127;1402327254,02535;2,08775147;5,049409676;0,413464465
128;1402327254,13942;1,873545038;5,049703143;0,371020827
129;1402327254,25155;1,779769819;5,049488621;0,352465359
