Sample;Time;Power;Voltage;Current
0;1401297224,84731;13,07996909;4,987239846;2,622686996
1;1401297224,97036;12,96492039;4,973385494;2,606860138
2;1401297225,08267;13,01982068;4,984510387;2,612056084
3;1401297225,19694;13,03074725;4,97461755;2,619447048
4;1401297225,30924;13,1242272;4,986083919;2,632171342
5;1401297225,42253;13,02369295;4,979958742;2,615221054
6;1401297225,53386;13,09099503;4,977911565;2,629816712
7;1401297225,64715;13,20547284;4,987837333;2,647534785
8;1401297225,75946;13,08570118;4,973080932;2,631306701
9;1401297225,87274;13,01648975;4,960635179;2,623956263
10;1401297226,05830;13,09479577;4,980862816;2,629021567
11;1401297226,19014;13,02096462;4,983873411;2,612619452
12;1401297226,30147;13,03703167;4,986774641;2,614321402
13;1401297226,41476;13,10186266;4,978620696;2,631624994
14;1401297226,52609;12,99489477;4,981040275;2,608871652
15;1401297226,63937;13,05134375;4,980476285;2,620501133
16;1401297226,75168;13,05322641;4,994007868;2,613777702
17;1401297226,86594;13,04907331;4,983923357;2,618233142
18;1401297226,98118;13,05581148;4,979618827;2,621849571
19;1401297227,09349;13,05679547;4,975373983;2,624284228
20;1401297227,20678;13,12942514;4,975247883;2,638948943
21;1401297227,31909;13,06195808;4,973075453;2,62653527
22;1401297227,43237;13,05396886;4,989957113;2,616048308
23;1401297227,54468;13,00527402;4,975521957;2,613851196
24;1401297227,65601;13,07799508;4,974806952;2,628844739
25;1401297227,76735;12,99547336;4,974651544;2,61233842
26;1401297227,87868;13,0732997;4,974848484;2,627878968
27;1401297227,99196;13,08109053;4,989091266;2,621938511
28;1401297228,10330;13,0994112;4,973146445;2,634028847
29;1401297228,21561;13,11261137;4,982047133;2,631972564
30;1401297228,32791;13,14003779;4,972753824;2,642406653
31;1401297228,43925;13,64234882;4,971807401;2,743941533
32;1401297228,55058;14,15690257;4,975421007;2,845367769
33;1401297228,66191;14,25750704;4,983971988;2,860671583
34;1401297228,77422;14,20860999;4,96644257;2,860923043
35;1401297228,88751;14,24557812;4,969133642;2,866813242
36;1401297228,99884;13,96525151;4,973334083;2,808026019
37;1401297229,11017;14,19125585;4,970347367;2,855183913
38;1401297229,22150;14,11518057;4,97957364;2,834616292
39;1401297229,33284;13,68782378;4,974584944;2,751550919
40;1401297229,44417;13,72683387;4,981581246;2,755517414
41;1401297229,55550;13,77812997;4,976645887;2,768557434
42;1401297229,66683;13,69170279;4,970796558;2,754428316
43;1401297229,77817;13,74073469;4,975354513;2,761759921
44;1401297229,88950;13,66651171;4,974650182;2,747230703
45;1401297230,00083;13,74266673;4,983341754;2,757721106
