Sample;Time;Power;Voltage;Current
0;1401987145,25955;1,370681522;5,032546786;0,272363394
1;1401987145,38162;1,429749688;5,029138247;0,284293177
2;1401987145,49491;1,486323147;5,046949876;0,294499288
3;1401987145,60722;1,362606394;5,028052721;0,271000817
4;1401987145,71953;1,359335892;5,049874553;0,269182111
5;1401987145,83086;1,416617215;5,007185288;0,282916875
6;1401987145,94219;1,435054097;5,03353079;0,285098901
7;1401987146,05450;1,432899582;5,038337944;0,28439926
8;1401987146,16583;1,388358271;5,029409358;0,276047975
9;1401987146,27912;1,328912251;5,030012085;0,264196632
10;1401987146,41389;1,389114212;5,022884992;0,276557041
11;1401987146,57014;1,449066656;5,033216886;0,287900698
12;1401987146,68441;1,448892799;5,03847352;0,287565826
13;1401987146,82406;1,476339338;5,04435656;0,292671488
14;1401987147,00668;1,44915777;5,036352896;0,287739521
15;1401987147,11899;1,460461603;5,037583691;0,28991312
16;1401987147,23033;1,46629087;5,032755296;0,291349526
17;1401987147,34166;1,463599878;5,016408565;0,291762495
18;1401987147,45397;1,494614465;5,040593351;0,296515581
19;1401987147,56530;1,549143908;5,034716929;0,307692355
20;1401987147,67663;1,52379233;5,009799563;0,304162334
21;1401987147,78796;2,030809055;5,01492714;0,404952853
22;1401987147,89930;2,492160845;5,01708826;0,496734503
23;1401987148,01063;2,520878309;5,048569826;0,499325234
24;1401987148,12196;2,438723618;5,038672546;0,484001212
25;1401987148,23329;2,43407745;5,031601868;0,483757959
26;1401987148,34463;2,298731118;5,026256993;0,457344525
27;1401987148,45596;2,449261646;5,029286968;0,48699978
28;1401987148,56729;2,199163052;5,019302698;0,438141149
29;1401987148,67862;1,988175447;5,041808862;0,394337727
30;1401987148,78996;2,067638171;5,025681887;0,411414454
31;1401987148,90129;2,015310536;5,030052361;0,400653988
32;1401987149,01262;1,961654478;5,00973473;0,391568533
33;1401987149,12395;1,971295366;5,041991337;0,390975556
34;1401987149,23529;1,916172242;5,019240228;0,381765398
35;1401987149,34662;2,044487581;5,031793122;0,406313919
36;1401987149,45795;2,012283334;5,021849886;0,400705593
37;1401987149,56928;2,034637642;5,040174935;0,403683933
38;1401987149,68061;2,037985057;5,029008427;0,405245902
39;1401987149,79195;2,017567451;5,021387285;0,40179483
40;1401987149,90328;2,077400622;5,018682426;0,413933468
41;1401987150,01461;1,964516687;5,042830554;0,38956627
42;1401987150,12594;2,031081491;5,027311306;0,404009493
43;1401987150,23923;2,013339752;5,031602991;0,400138834
44;1401987150,35154;1,951921608;5,034581362;0,387702863
45;1401987150,46287;2,025356866;5,010672958;0,404208553
46;1401987150,57616;2,049304478;5,04799496;0,40596405
47;1401987150,68749;1,967981617;5,03310587;0,391007395
48;1401987150,79882;2,015082837;5,028220407;0,400754675
49;1401987150,91113;2,000418785;5,036589066;0,397177288
50;1401987151,02246;1,992156742;5,026023855;0,396368342
51;1401987151,13380;1,945433949;5,020264411;0,387516232
52;1401987151,24610;1,958548674;5,037967788;0,388757681
53;1401987151,35744;2,060441633;5,018397675;0,410577592
54;1401987151,46975;1,935191355;5,031478945;0,384616805
55;1401987151,58108;1,992225191;5,029903209;0,396076248
56;1401987151,69241;1,996438219;5,017761363;0,397874286
57;1401987151,80374;2,035185877;5,047881818;0,403176213
58;1401987151,91508;1,952922602;5,029515558;0,388292387
59;1401987152,02641;2,105954962;5,029747092;0,418699971
60;1401987152,13774;2,061507916;5,021509077;0,410535535
61;1401987152,25103;1,996260805;5,03484545;0,396488994
62;1401987152,36236;1,992849572;5,034560832;0,395833845
63;1401987152,47369;2,014571721;5,0278546;0,400682176
64;1401987152,58502;1,985069913;5,025547145;0,39499578
65;1401987152,69636;2,038131539;5,039545602;0,404427641
66;1401987152,80769;1,994233813;5,037253943;0,395897018
67;1401987152,92097;1,993217886;5,022352537;0,39686937
