Sample;Time;Power;Voltage;Current
0;1401142266,92475;7,696455387;5,057351823;1,521835074
1;1401142267,04878;7,725933156;5,04601194;1,531096884
2;1401142267,16206;7,726434053;5,047297257;1,530806224
3;1401142267,27535;7,731069726;5,049350852;1,531101711
4;1401142267,38766;7,765424636;5,064601055;1,533274695
5;1401142267,49899;7,815765058;5,054186229;1,546394356
6;1401142267,61228;7,711408005;5,062286506;1,523305328
7;1401142267,72654;7,78357256;5,068991332;1,535526903
8;1401142267,83982;7,722679433;5,043120738;1,531329475
9;1401142267,95116;7,735857351;5,053586113;1,530765911
10;1401142268,06249;7,786486747;5,070659394;1,535596486
11;1401142268,17968;7,787347407;5,059275637;1,539221811
12;1401142268,29297;7,705892832;5,041624629;1,528454298
13;1401142268,40625;7,759570411;5,047715015;1,537244156
14;1401142268,51954;7,63547579;5,053263744;1,510998867
15;1401142268,63282;7,840731896;5,05979387;1,549614885
16;1401142268,74611;7,697149361;5,044377949;1,525886728
17;1401142268,85939;7,8272145;5,052120289;1,54929298
18;1401142268,97170;7,730988953;5,058483258;1,528321546
19;1401142269,08597;7,760048981;5,051344595;1,53623433
20;1401142269,19827;7,657066847;5,043477057;1,518211892
21;1401142269,31058;7,757248253;5,059327718;1,533256726
22;1401142269,42387;7,800547775;5,05436885;1,543327764
23;1401142269,53715;7,743715338;5,054736424;1,531972133
24;1401142269,64849;7,795500751;5,058061657;1,541203188
25;1401142269,76080;7,83643598;5,064989034;1,547177285
26;1401142269,87213;7,941127924;5,064800799;1,567905282
27;1401142269,98541;8,342382868;5,057349781;1,649556236
28;1401142270,09675;8,498350148;5,046370147;1,684052081
29;1401142270,20808;8,536656191;5,046423031;1,691625165
30;1401142270,31941;8,351889;5,065169608;1,648886345
31;1401142270,43074;8,332200227;5,042070237;1,652535533
32;1401142270,54208;8,300725337;5,049892896;1,643742849
33;1401142270,65341;8,386304943;5,042117369;1,66325064
34;1401142270,76474;8,357958905;5,049096973;1,65533737
35;1401142270,87607;8,376900988;5,056036412;1,656811839
36;1401142270,98936;8,441692034;5,04934841;1,671837899
37;1401142271,10069;8,232903455;5,047309948;1,631146797
38;1401142271,21398;9,115648658;5,052548403;1,804168497
39;1401142271,32531;8,991144783;5,054990588;1,778666968
40;1401142271,43664;10,82852316;5,048823391;2,144761725
41;1401142271,54797;9,416568613;5,05562355;1,862592916
42;1401142271,65931;9,063894024;5,044724466;1,796707449
43;1401142271,77064;11,81303196;5,046525874;2,34082461
44;1401142271,88197;10,65494756;5,05303032;2,108625297
45;1401142271,99526;9,72067742;5,051289698;1,924395155
46;1401142272,10854;10,63393872;5,048358404;2,106415169
47;1401142272,21987;11,19721117;5,05560378;2,214811852
48;1401142272,33316;11,63873378;5,038633567;2,30989883
49;1401142272,44645;11,67394788;5,041898021;2,315387545
50;1401142272,55778;11,64124787;5,060655815;2,30034373
51;1401142272,67106;11,8100865;5,050693896;2,338309694
52;1401142272,78240;11,89837081;5,052787275;2,354813326
53;1401142272,89568;11,71354742;5,048733872;2,32009603
54;1401142273,00897;11,88364309;5,059779661;2,348648337
55;1401142273,12030;11,69906843;5,038146909;2,322097518
56;1401142273,23163;11,69654739;5,031675322;2,324583095
57;1401142273,34394;11,85936807;5,046554916;2,349992871
58;1401142273,45723;11,75848494;5,030679439;2,337355238
59;1401142273,56856;11,95114582;5,045576556;2,36863829
60;1401142273,67989;11,84283291;5,055670282;2,342485219
61;1401142273,79318;11,84544955;5,042062536;2,349326187
62;1401142273,90646;11,68026517;5,04224535;2,316480926
63;1401142274,01975;11,79512532;5,049298921;2,335992681
64;1401142274,13206;11,69069125;5,030417373;2,324000253
65;1401142274,24339;11,58886959;5,041656303;2,298623487
66;1401142274,35472;11,65259407;5,043567874;2,310387083
67;1401142274,46703;11,58830874;5,047799716;2,295714844
68;1401142274,58032;11,67969488;5,054186428;2,310895146
69;1401142274,69360;11,57047729;5,044032092;2,293894463
70;1401142274,80591;11,57121751;5,035594449;2,297885112
71;1401142274,91724;11,74056792;5,058498976;2,320958841
72;1401142275,03053;11,58756846;5,049683527;2,294711817
73;1401142275,14186;11,73048347;5,052948419;2,32151261
74;1401142275,25319;11,63798239;5,044249184;2,307178326
75;1401142275,36550;11,74736295;5,044517708;2,328738569
